circumference,length,kind,weight
25.5,85.5,atlantic,31.2
22.5,62.5,atlantic,12.4
29.0,88.0,atlantic,34.8
32.5,85.5,atlantic,62.7
24.5,74.5,atlantic,24.2
29.0,77.0,atlantic,28.4
27.0,85.0,atlantic,26.8
29.0,74.5,atlantic,37.0
21.0,75.0,atlantic,12.2
24.5,66.0,atlantic,17.3
22.0,68.0,atlantic,16.1
24.0,76.0,atlantic,23.8
28.0,75.5,atlantic,35.3
34.0,103.0,atlantic,62.8
21.5,61.0,atlantic,14.7
26.0,72.5,atlantic,22.3
24.0,74.0,atlantic,20.4
21.0,76.0,atlantic,18.1
20.0,70.5,atlantic,14.2
31.5,81.0,atlantic,54.1
33.0,95.0,atlantic,65.2
24.5,71.0,atlantic,22.9
33.5,92.5,atlantic,49.8
31.5,90.5,atlantic,48.3
28.0,80.0,atlantic,30.1
20.5,68.0,atlantic,11.9
33.5,89.0,atlantic,72.8
23.5,63.0,atlantic,16.6
34.0,101.0,atlantic,82.0
32.0,84.5,atlantic,53.5
32.0,98.5,atlantic,67.2
23.5,70.0,atlantic,19.3
20.0,64.5,atlantic,12.7
22.0,64.5,atlantic,14.9
28.0,85.0,atlantic,30.8
34.5,91.0,atlantic,71.6
24.5,64.0,atlantic,17.4
21.0,61.5,atlantic,9.9
22.0,68.5,atlantic,17.6
30.0,91.5,atlantic,39.9
25.5,79.0,atlantic,32.2
21.5,73.5,atlantic,19.5
20.5,67.0,atlantic,16.1
27.5,75.5,atlantic,29.6
30.5,84.5,atlantic,34.5
25.0,67.5,atlantic,26.4
24.0,75.5,atlantic,21.1
28.0,76.5,atlantic,39.4
33.5,96.5,atlantic,78.0
31.0,96.0,atlantic,60.8
20.5,65.0,sockeye,23.0
19.0,66.0,sockeye,19.9
23.0,65.0,sockeye,25.0
19.0,64.5,sockeye,21.2
24.5,79.5,sockeye,27.2
25.5,84.0,sockeye,33.8
22.5,72.0,sockeye,22.1
24.5,81.5,sockeye,31.0
21.5,61.0,sockeye,18.9
22.0,71.5,sockeye,22.3
18.0,53.0,sockeye,13.9
19.0,64.5,sockeye,19.5
23.5,65.5,sockeye,28.5
23.0,75.0,sockeye,27.7
22.5,68.5,sockeye,28.9
22.0,62.0,sockeye,22.0
26.0,82.0,sockeye,31.8
19.0,59.5,sockeye,20.4
24.0,70.5,sockeye,25.8
23.0,75.0,sockeye,31.0
21.0,74.0,sockeye,20.2
18.0,53.0,sockeye,18.1
22.0,63.0,sockeye,20.4
19.0,63.5,sockeye,21.5
24.0,65.0,sockeye,26.9
22.5,78.5,sockeye,31.1
18.0,66.0,sockeye,15.7
27.0,82.0,sockeye,36.5
22.0,71.5,sockeye,28.5
27.0,89.0,sockeye,38.3
18.5,54.0,sockeye,17.4
18.0,59.5,sockeye,18.1
25.5,73.5,sockeye,31.2
24.0,81.5,sockeye,31.1
20.5,60.5,sockeye,20.8
27.5,79.5,sockeye,40.8
21.0,77.0,sockeye,20.7
25.0,81.5,sockeye,30.1
22.5,78.0,sockeye,30.7
21.5,59.5,sockeye,24.2
20.5,77.0,sockeye,23.3
24.0,73.0,sockeye,29.3
24.0,80.0,sockeye,28.4
18.5,63.0,sockeye,16.3
22.0,78.0,sockeye,25.6
19.0,69.5,sockeye,18.8
18.5,67.0,sockeye,18.9
24.5,67.5,sockeye,24.7
21.0,66.5,sockeye,26.0
27.5,86.5,sockeye,43.4
